,分词,出现次数
799,困扰,4
800,顽强,4
801,艾迪,4
802,打劫,4
803,简单,4
804,角色,4
805,参与,4
806,县长,4
807,刘嘉玲,4
808,唐雪莉,4
809,为期,4
810,日记,4
811,弗莱彻,4
812,主人公,4
813,家人,4
814,克拉拉,4
815,伊莎贝尔,4
816,丹尼尔,4
817,雷纳多,4
818,幻想,4
819,处境,4
820,敌人,4
821,Hanks,4
822,搭救,4
823,付出,4
824,柏林,4
825,家庭,4
826,中学,4
827,知晓,4
828,院长,4
829,克里斯托弗,4
830,团队,4
831,金像奖,4
832,满满,4
833,交流,4
834,作案,4
835,心理,4
836,马沙,4
837,独立,4
838,波士顿,4
839,伊万,4
840,心理学,4
841,暗恋,4
842,何宝荣,4
843,脑海,4
844,中断,4
845,凯拉,4
846,个性,4
847,喜爱,4
848,小小,4
849,健康,4
850,检查,4
851,奥利弗,4
852,分离,4
853,德州,4
854,满足,4
855,人员,4
856,分子,4
857,幻姬,4
858,觉得,4
859,和尚,4
860,抢走,4
861,马小军,4
862,林青霞,4
863,温暖,4
864,快餐店,4
865,情感,4
866,旅行,4
867,社长,4
868,内容,4
869,秋香,4
870,审判,4
871,复仇,4
872,台北,4
873,遏制,4
874,背叛,4
875,菊次郎,4
876,夕子,4
877,身影,4
878,姥姥,4
879,超级,4
880,居民,4
881,江湖,4
882,期待,4
883,屠龙,4
884,绝症,4
885,尹英华,4
886,天狼星,4
887,袁公,4
888,记录,4
889,毛怪,4
890,格鲁,4
891,危在旦夕,4
892,老爸,4
893,暴力,4
894,戴斯蒙德,4
895,血腥,4
896,密室,4
897,摧毁,4
898,山村,4
899,地位,4
900,度日,4
901,彩蛋,4
902,米尔德雷德,4
903,苏丽珍,4
904,锡安,4
905,练习,4
906,上野,4
907,莱莉,4
908,黑天鹅,4
909,遗产,4
910,艾莉,4
911,诺亚,4
912,主演,4
913,翡翠,4
914,首映,4
915,电脑,4
916,天网,4
917,小四,4
918,海洋,4
919,真琴,4
920,伊夏,4
921,气味,4
922,艾迪德,4
923,西敏,4
924,囚禁,3
925,摩根•弗里曼,3
926,Freeman,3
927,明星,3
928,典狱,3
929,小偷,3
930,合法,3
931,出狱,3
932,程蝶衣,3
933,霸王别姬,3
934,汉克斯,3
935,智商,3
936,上帝,3
937,思念,3
938,奥德曼,3
939,赶到,3
940,泰坦尼克号,3
941,温丝莱特,3
942,打算,3
943,英俊,3
944,开朗,3
945,升温,3
946,历经,3
947,寂寞,3
948,平安,3
949,驱车,3
950,凶恶,3
951,开设,3
952,生产,3
953,用品,3
954,建立,3
955,震撼,3
956,全世界,3
957,继承人,3
958,hael,3
959,卡特,3
960,车站,3
961,满意,3
962,日元,3
963,宇航员,3
964,布兰德,3
965,小时,3
966,表演,3
967,打动,3
968,听说,3
969,溺水,3
970,理由,3
971,跟踪,3
972,逃离,3
973,波曼,3
974,教学,3
975,追寻,3
976,日复一日,3
977,运动,3
978,宝贝,3
979,歌舞片,3
980,助理,3
981,前途,3
982,莫文蔚,3
983,沙漠,3
984,压抑,3
985,关注,3
986,行径,3
987,揭开,3
988,震惊,3
989,兔子,3
990,致力,3
991,局长,3
992,相识,3
993,曾志伟,3
994,训练,3
995,首领,3
996,爱戴,3
997,圣诞,3
998,出卖,3
999,血雨腥风,3
1000,住院,3
1001,小梅,3
1002,龙猫,3
1003,报酬,3
1004,白眼,3
1005,想方设法,3
1006,报纸,3
1007,黑人,3
1008,德希斯,3
1009,思维,3
1010,分享,3
1011,心脏病,3
1012,桀骜,3
1013,兴奋,3
1014,富婆,3
1015,爱意,3
1016,遗嘱,3
1017,证人,3
1018,扑朔迷离,3
1019,可告人,3
1020,阴影,3
1021,警官,3
1022,维持,3
1023,怀抱,3
1024,年幼,3
1025,狭小,3
1026,升起,3
1027,千金,3
1028,法官,3
1029,无力,3
1030,长子,3
1031,阶段,3
1032,伍德,3
1033,销毁,3
1034,大军,3
1035,光明,3
1036,剪辑,3
1037,配乐,3
1038,生涯,3
1039,展现,3
1040,杰出,3
1041,荣誉,3
1042,艾丽,3
1043,相同,3
1044,Russell,3
1045,说话,3
1046,赫敏,3
1047,暴风雨,3
1048,素媛,3
1049,早上,3
1050,无情,3
1051,摧残,3
1052,崩溃,3
1053,天使,3
1054,伴随,3
1055,贫民窟,3
1056,证据,3
1057,意见,3
1058,成立,3
1059,陪审员,3
1060,灵魂,3
1061,城堡,3
1062,咒语,3
1063,马大三,3
1064,绑架,3
1065,香川,3
1066,董汉臣,3
1067,看守,3
1068,化解,3
1069,换取,3
1070,村子,3
1071,杀机,3
1072,帝国,3
1073,拉比达,3
1074,找寻,3
1075,军队,3
1076,实施,3
1077,唐三藏,3
1078,妖怪,3
1079,失意,3
1080,恶作剧,3
1081,史法兰,3
1082,失明,3
1083,美味,3
1084,挽救,3
1085,民间,3
1086,新闻,3
1087,责任,3
1088,天堂,3
1089,政策,3
1090,佑硕,3
1091,逮捕,3
1092,道路,3
1093,布拉德•皮特,3
1094,痞子,3
1095,搏击,3
1096,情绪,3
1097,飞行员,3
1098,证明,3
1099,眼睛,3
1100,逃脱,3
1101,官员,3
1102,聚会,3
1103,王子,3
1104,穆法沙,3
1105,国王,3
1106,算计,3
1107,机智,3
1108,真谛,3
1109,风格,3
1110,兽人,3
1111,莱戈拉斯,3
1112,复活,3
1113,对待,3
1114,山脉,3
1115,学期,3
1116,文学,3
1117,声音,3
1118,哲学,3
1119,学会,3
1120,追问,3
1121,电台,3
1122,美妙,3
1123,凯莉,3
1124,菲什伯恩,3
1125,生性,3
1126,联盟,3
1127,比尔博,3
1128,到达,3
1129,王国,3
1130,逃避,3
1131,特工,3
1132,魏斯曼,3
1133,克里斯蒂娜,3
1134,退休,3
1135,尴尬,3
1136,老友,3
1137,友情,3
1138,丧失,3
1139,过后,3
1140,约翰•福布斯,3
1141,最高,3
1142,步伐,3
1143,康纳利,3
1144,支持,3
1145,毒贩,3
1146,漩涡,3
1147,张麻子,3
1148,夫妻,3
1149,鹅城,3
1150,游手好闲,3
1151,混混,3
1152,夜总会,3
1153,老妇,3
1154,朱莉娅,3
1155,强制,3
1156,病院,3
1157,病人,3
1158,疯人院,3
1159,亲情,3
1160,打成一片,3
1161,适应,3
1162,珍惜,3
1163,别墅,3
1164,车祸,3
1165,宁静,3
1166,年纪,3
1167,荷尔蒙,3
1168,嫉妒,3
1169,世事,3
1170,勇气,3
1171,汤姆•汉克斯,3
1172,错过,3
1173,肮脏,3
1174,施穆尔,3
1175,恋人,3
1176,规矩,3
1177,太地,3
1178,渔民,3
1179,活动,3
1180,纪录,3
1181,同伙,3
1182,帮派,3
1183,纸条,3
1184,科学,3
1185,安吉尔,3
1186,伯登,3
1187,克里斯蒂安,3
1188,魔术,3
1189,贵族,3
1190,野心,3
1191,精彩,3
1192,道德,3
1193,金表,3
1194,邦妮,3
1195,盗贼,3
1196,杀人,3
1197,查克,3
1198,米歇尔,3
1199,犯人,3
1200,实验,3
1201,大祸,3
1202,往事,3
1203,可怕,3
1204,过失,3
1205,伤害,3
1206,骄傲,3
1207,教义,3
1208,人性,3
1209,蛛丝马迹,3
1210,困难,3
1211,布达佩斯,3
1212,穆斯塔法,3
1213,晚餐,3
1214,拉尔夫,3
1215,费因斯,3
1216,名画,3
1217,姑姑,3
1218,小屋,3
1219,同居,3
1220,浴室,3
1221,工人,3
1222,打入,3
1223,开采,3
1224,昂贵,3
1225,探索,3
1226,经理,3
1227,技术,3
1228,雷德克里夫,3
1229,艾玛,3
1230,证实,3
1231,对决,3
1232,愉快,3
1233,失望,3
1234,活跃,3
1235,古堡,3
1236,爱人,3
1237,嫌疑人,3
1238,空间,3
1239,牺牲,3
1240,文化,3
1241,英王,3
1242,伊莎贝拉,3
1243,谈判,3
1244,驾驶,3
1245,过往,3
1246,船长,3
1247,奈特莉,3
1248,Keira,3
1249,背着,3
1250,卡拉,3
1251,前妻,3
1252,陌生人,3
1253,推移,3
1254,激情,3
1255,恩尼斯,3
1256,约会,3
1257,投入,3
1258,牢房,3
1259,疾病,3
1260,美女,3
1261,斯达卡,3
1262,旅途,3
1263,大人,3
1264,麒麟兽,3
1265,为首,3
1266,麒麟,3
1267,松冈茉优,3
1268,米兰,3
1269,分手,3
1270,纪子,3
1271,原作,3
1272,相信,3
1273,功夫,3
1274,上门,3
1275,伊桑,3
1276,霍克,3
1277,Ethan,3
1278,塞琳娜,3
1279,朱莉,3
1280,德尔佩,3
1281,Delpy,3
1282,交谈,3
1283,抱怨,3
1284,客厅,3
1285,洋洋,3
1286,亨利,3
1287,承受,3
1288,哥谭市,3
1289,韦恩,3
1290,贝恩,3
1291,制造,3
1292,毁灭,3
1293,凶残,3
1294,看望,3
1295,安慰,3
1296,熟悉,3
1297,王祖贤,3
1298,迷惑,3
1299,脱离,3
1300,京子,3
1301,展示,3
1302,斧头,3
1303,猪笼,3
1304,城寨,3
1305,碰触,3
1306,玩耍,3
1307,改革,3
1308,黎小军,3
1309,小婷,3
1310,人人,3
1311,患有,3
1312,偏远,3
1313,姨婆,3
1314,小人,3
1315,日常,3
1316,巧克力,3
1317,马克思,3
1318,纪录片,3
1319,建筑师,3
1320,住宅,3
1321,集合,3
1322,希卡普,3
1323,族人,3
1324,歌声,3
1325,宣布,3
1326,旬报,3
1327,维克多,3
1328,维护,3
1329,团体,3
1330,重逢,3
1331,青春,3
1332,糖果,3
1333,罪犯,3
1334,查出,3
1335,黄药师,3
1336,真心,3
1337,节目,3
1338,电话,3
1339,主题,3
1340,尖叫,3
1341,人间,3
1342,宝宝,3
1343,小心,3
1344,盗取,3
1345,伍迪,3
1346,玩具,3
1347,宾格,3
1348,达西,3
1349,麦克亚当斯,3
1350,石宇,3
1351,地狱,3
1352,幸存者,3
1353,逼仄,3
1354,姜戈,3
1355,猎人,3
1356,十足,3
1357,腐海,3
1358,葳葳,3
1359,强大,3
1360,沦为,3
1361,噩梦,3
1362,消失,3
1363,宋子杰,3
1364,班尼,3
1365,机缘,3
1366,巧合,3
1367,丽娜,3
1368,惊醒,3
1369,中情局,3
1370,躲避,3
1371,追逐,3
1372,奇异,3
1373,冠军,3
1374,红豆,3
1375,身手,3
1376,曾江,3
1377,重聚,3
1378,胡图族,3
1379,战事,3
1380,威洛比,3
1381,演出,3
1382,组员,3
1383,三叶,3
1384,彗星,3
1385,金门,3
1386,科长,3
1387,千鹤子,3
1388,叹为观止,3
1389,热血,3
1390,杰玛,3
1391,风流,3
1392,迷恋,3
1393,乐乐,3
1394,领舞,3
1395,行驶,3
1396,快手,3
1397,荣耀,3
1398,笔记本,3
1399,艰辛,3
1400,戛纳,3
1401,影迷,3
1402,赛琳,3
1403,游艇,3
1404,男女,3
1405,科斯莫,3
1406,修行,3
1407,执行,3
1408,莫妮卡,3
1409,尕玉,3
1410,巡山队员,3
1411,黑石,3
1412,根源,3
1413,表达,3
1414,爱国,3
1415,邝裕民,3
1416,戚秦氏,3
1417,完全,3
1418,深渊,3
1419,病房,3
1420,聚焦,3
1421,龙门,3
1422,客栈,3
1423,金镶玉,3
1424,周淮安,3
1425,黄启文,3
1426,影像,3
1427,艾尔弗莱德,3
1428,塞缪尔,3
1429,调察,3
1430,法海,3
1431,许仙,3
1432,弗雷迪,3
1433,功介,3
1434,千昭,3
1435,非洲,3
1436,叛军,3
1437,良多,3
1438,旭仔,3
1439,艾米丽,3
1440,香水,3
1441,巴尔蒂尼,3
1442,战犯,3
1443,雷登,3
1444,格雷塔,3
1445,独裁,3
1446,教会,3
1447,巴基斯坦,3
1448,沙希达,3
1449,倪永孝,3
1450,特种部队,3
1451,谋杀案,2
1452,蒂姆•,2
1453,谋杀,2
1454,指控,2
1455,现身,2
1456,担当,2
1457,招致,2
1458,伪善,2
1459,沮丧,2
1460,风雨,2
1461,鼓舞,2
1462,金球奖,2
1463,土星,2
1464,戏剧,2
1465,巩俐,2
1466,致使,2
1467,变迁,2
1468,酿成,2
1469,悲剧,2
1470,坚强,2
1471,女性,2
1472,外交,2
1473,相聚,2
1474,加深,2
1475,马蒂尔达,2
1476,惩罚,2
1477,幸免于难,2
1478,救回,2
1479,混杂,2
1480,奇迹,2
1481,未婚夫,2
1482,头等舱,2
1483,放荡,2
1484,下等舱,2
1485,救起,2
1486,相爱,2
1487,周折,2
1488,法西斯,2
1489,同行,2
1490,聪明,2
1491,奖品,2
1492,天真,2
1493,广播,2
1494,清理,2
1495,诡异,2
1496,香味,2
1497,仓皇,2
1498,汤婆婆,2
1499,白色,2
1500,妖精,2
1501,克拉科夫,2
1502,社交,2
1503,金钱,2
1504,良好,2
1505,能源,2
1506,齐藤,2
1507,通缉,2
1508,竞争,2
1509,费希尔,2
1510,墨菲,2
1511,潜意识,2
1512,想法,2
1513,凯恩,2
1514,吸收,2
1515,对付,2
1516,反抗,2
1517,玛丽昂,2
1518,歌迪亚,2
1519,八公,2
1520,走失,2
1521,呵护,2
1522,上班,2
1523,等候,2
1524,忠诚,2
1525,怀着,2
1526,放纵,2
1527,沙尘暴,2
1528,肆虐,2
1529,光景,2
1530,库珀,2
1531,未知,2
1532,遥远,2
1533,星系,2
1534,劝说,2
1535,告别,2
1536,光阴,2
1537,窥见,2
1538,黑洞,2
1539,传奇,2
1540,遗弃,2
1541,非凡,2
1542,演奏,2
1543,技艺,2
1544,离去,2
1545,可惜,2
1546,陆地,2
1547,琴声,2
1548,楚门,2
1549,凯瑞,2
1550,失落,2
1551,发觉,2
1552,畅销书,2
1553,法兰,2
1554,拉杜,2
1555,伊拉尼,2
1556,不满,2
1557,孟买,2
1558,公元,2
1559,垃圾,2
1560,乘坐,2
1561,漫长,2
1562,临行,2
1563,委托,2
1564,开发,2
1565,废品,2
1566,程序,2
1567,年复一年,2
1568,流逝,2
1569,侵蚀,2
1570,停止,2
1571,收集,2
1572,作伴,2
1573,寄宿,2
1574,高压,2
1575,改善,2
1576,孤僻,2
1577,释放,2
1578,皮埃尔,2
1579,头痛,2
1580,宝盒,2
1581,朱茵,2
1582,青霞,2
1583,紫青宝剑,2
1584,魔王,2
1585,迷失,2
1586,成婚,2
1587,美术,2
1588,天生,2
1589,双胞胎,2
1590,紧张,2
1591,气氛,2
1592,全民,2
1593,民秀,2
1594,取材,2
1595,古德温,2
1596,警校,2
1597,警察局,2
1598,大型,2
1599,领地,2
1600,狐狸,2
1601,误打,2
1602,水獭,2
1603,自愿,2
1604,警局,2
1605,联手,2
1606,揭露,2
1607,三合会,2
1608,刘德华,2
1609,听从,2
1610,老大,2
1611,吩咐,2
1612,部队,2
1613,许诺,2
1614,见习,2
1615,督察,2
1616,学员,2
1617,终极,2
1618,回归,2
1619,迥异,2
1620,相似,2
1621,无间道,2
1622,非法,2
1623,勾当,2
1624,弱小,2
1625,索洛索,2
1626,劫持,2
1627,暗杀,2
1628,内奸,2
1629,逊尼,2
1630,小儿子,2
1631,帕西诺,2
1632,仇杀,2
1633,生病,2
1634,新奇,2
1635,有趣,2
1636,小月,2
1637,用尽,2
1638,高昂,2
1639,妻儿,2
1640,教堂,2
1641,明天,2
1642,朱丽,2
1643,风景,2
1644,事迹,2
1645,外公,2
1646,困惑,2
1647,项目,2
1648,争吵,2
1649,跳伞,2
